phred_quality	error_probability	ascii_code	ascii_symbol
0	1.0000000000	33	!
1	0.7943282347	34	“
2	0.6309573445	35	#
3	0.5011872336	36	$
4	0.3981071706	37	%
5	0.3162277660	38	&
6	0.2511886432	39	‘
7	0.1995262315	40	(
8	0.1584893192	41	)
9	0.1258925412	42	*
10	0.1000000000	43	+
11	0.0794328235	44	,
12	0.0630957344	45	–
13	0.0501187234	46	.
14	0.0398107171	47	/
15	0.0316227766	48	0
16	0.0251188643	49	1
17	0.0199526231	50	2
18	0.0158489319	51	3
19	0.0125892541	52	4
20	0.0100000000	53	5
21	0.0079432823	54	6
22	0.0063095734	55	7
23	0.0050118723	56	8
24	0.0039810717	57	9
25	0.0031622777	58	:
26	0.0025118864	59	;
27	0.0019952623	60	<
28	0.0015848932	61	=
29	0.0012589254	62	>
30	0.0010000000	63	?
31	0.0007943282	64	@
32	0.0006309573	65	A
33	0.0005011872	66	B
34	0.0003981072	67	C
35	0.0003162278	68	D
36	0.0002511886	69	E
37	0.0001995262	70	F
38	0.0001584893	71	G
39	0.0001258925	72	H
40	0.0001000000	73	I
41	0.0000794328	74	J
42	0.0000630957	75	K
43	0.0000501187	76	L
44	0.0000398107	77	M
45	0.0000316228	78	N
46	0.0000251189	79	O
47	0.0000199526	80	P
48	0.0000158489	81	Q
49	0.0000125893	82	R
50	0.0000100000	83	S
51	0.0000079433	84	T
52	0.0000063096	85	U
53	0.0000050119	86	V
54	0.0000039811	87	W
55	0.0000031623	88	X
56	0.0000025119	89	Y
57	0.0000019953	90	Z
58	0.0000015849	91	[
59	0.0000012589	92	\
60	0.0000010000	93	]
61	0.0000007943	94	^
62	0.0000006310	95	_
63	0.0000005012	96	`
64	0.0000003981	97	a
65	0.0000003162	98	b
66	0.0000002512	99	c
67	0.0000001995	100	d
68	0.0000001585	101	e
69	0.0000001259	102	f
70	0.0000001000	103	g
71	0.0000000794	104	h
72	0.0000000631	105	i
73	0.0000000501	106	j
74	0.0000000398	107	k
75	0.0000000316	108	l
76	0.0000000251	109	m
77	0.0000000200	110	n
78	0.0000000158	111	o
79	0.0000000126	112	p
80	0.0000000100	113	q
81	0.0000000079	114	r
82	0.0000000063	115	s
83	0.0000000050	116	t
84	0.0000000040	117	u
85	0.0000000032	118	v
86	0.0000000025	119	w
87	0.0000000020	120	x
88	0.0000000016	121	y
89	0.0000000013	122	z
90	0.0000000010	123	{
91	0.0000000008	124	|
92	0.0000000006	125	}
93	0.0000000005	126	~
