reads_file	reads_number	largest_read_bp	smallest_read_bp	total_reads_bp	mean_reads_bp	median_reads_bp	gc_percentage	sample_name
01-1sq_FTP[R1].fastq.gz	47877	151	35	7179769	149.9628005096393	151.0	33.90504624870243	01-1sq_FTP
01-1sq_FTP[R2].fastq.gz	47877	151	35	7179086	149.9485347870585	151.0	33.93692456114887	01-1sq_FTP
01sq_FTP[R1].fastq.gz	1343	151	64	201756	150.22784810126583	151.0	50.91149705584964	01sq_FTP
01sq_FTP[R2].fastq.gz	1343	151	63	201613	150.12137006701414	151.0	41.993819842966474	01sq_FTP
07sq_FTP[R1].fastq.gz	53179	151	35	7979382	150.04761277948063	151.0	43.19295654726143	07sq_FTP
07sq_FTP[R2].fastq.gz	53179	151	35	7979280	150.0456947291224	151.0	43.05566417020082	07sq_FTP
07sq_Nextera[R1].fastq.gz	2853500	76	35	215100422	75.38125880497634	76.0	43.022143861716835	07sq_Nextera
07sq_Nextera[R2].fastq.gz	2853500	76	35	215093590	75.3788645523042	76.0	43.01221110308308	07sq_Nextera
08-1sq_FTP[R1].fastq.gz	285399	151	35	42705453	149.63420684725594	151.0	36.15639436022374	08-1sq_FTP
08-1sq_FTP[R2].fastq.gz	285399	151	35	42717837	149.67759873019878	151.0	37.12290254771092	08-1sq_FTP
1-2sq_FTP[R1].fastq.gz	506993	151	35	74800957	147.5384413591509	151.0	33.89399951126294	1-2sq_FTP
1-2sq_FTP[R2].fastq.gz	506993	151	35	74823067	147.58205142871796	151.0	33.73834969903065	1-2sq_FTP
10sq_Nextera[R1].fastq.gz	1410814	76	35	106381220	75.40414257301104	76.0	45.42007320465022	10sq_Nextera
10sq_Nextera[R2].fastq.gz	1410814	76	35	106376751	75.40097489817934	76.0	45.44892802751609	10sq_Nextera
1sq_FTP[R1].fastq.gz	50778	151	35	7609619	149.8605498444208	151.0	34.254316806137076	1sq_FTP
1sq_FTP[R2].fastq.gz	50778	151	35	7610637	149.88059789672693	151.0	33.24299923909129	1sq_FTP
1sq_Nextera[R1].fastq.gz	3634511	76	35	273802759	75.33413958576546	76.0	32.64662647172229	1sq_Nextera
1sq_Nextera[R2].fastq.gz	3634511	76	35	273789985	75.33062494514392	76.0	32.674633807368814	1sq_Nextera
2sq_FTP[R1].fastq.gz	604187	151	35	90514530	149.8121111510178	151.0	40.69858176361298	2sq_FTP
2sq_FTP[R2].fastq.gz	604187	151	35	90522943	149.82603564790372	151.0	41.018569181958654	2sq_FTP
2sq_Nextera[R1].fastq.gz	867538	76	35	65339610	75.31613600787516	76.0	40.45238102890421	2sq_Nextera
2sq_Nextera[R2].fastq.gz	867538	76	35	65340613	75.31729215319675	76.0	40.51888677567197	2sq_Nextera
336g_FTP[R1].fastq.gz	654550	151	35	97246661	148.57025590100068	151.0	46.57231059069473	336g_FTP
336g_FTP[R2].fastq.gz	654550	151	35	97274410	148.6126499121534	151.0	46.546402080464944	336g_FTP
336g_Nextera[R1].fastq.gz	4190228	76	35	315917974	75.39398190265541	76.0	46.451058843521196	336g_Nextera
336g_Nextera[R2].fastq.gz	4190228	76	35	315902597	75.39031217394376	76.0	46.49104008473852	336g_Nextera
517_Nextera[R1].fastq.gz	2564135	76	35	193125750	75.31808972616497	76.0	46.58254634609833	517_Nextera
517_Nextera[R2].fastq.gz	2564135	76	35	193115878	75.31423969486787	76.0	46.59968560430852	517_Nextera
517g_FTP[R1].fastq.gz	182226	151	35	27279107	149.69931294107317	151.0	46.02814894197233	517g_FTP
517g_FTP[R2].fastq.gz	182226	151	35	27283470	149.72325573738107	151.0	45.97290960424022	517g_FTP
8sq_Nextera[R1].fastq.gz	1273114	76	35	95628061	75.11350986635918	76.0	34.35024997526615	8sq_Nextera
8sq_Nextera[R2].fastq.gz	1273114	76	35	95632824	75.11725108670551	76.0	34.348268330965524	8sq_Nextera
9sq_Nextera[R1].fastq.gz	716269	76	35	53877435	75.21955438529379	76.0	60.1715968846698	9sq_Nextera
9sq_Nextera[R2].fastq.gz	716269	76	35	53877859	75.22014634166773	76.0	60.18021428802507	9sq_Nextera
MhP_FTP[R1].fastq.gz	86576	151	35	12949866	149.57801238218443	151.0	54.26508660398494	MhP_FTP
MhP_FTP[R2].fastq.gz	86576	151	35	12951992	149.6025688412493	151.0	54.279303137308915	MhP_FTP
Undetermined_FTP[R1].fastq.gz	424299	151	35	63634926	149.97661083339815	151.0	56.77890000217805	Undetermined_FTP
Undetermined_FTP[R2].fastq.gz	424299	151	35	63588589	149.86740246854222	151.0	43.91017702877477	Undetermined_FTP
Undetermined_Nextera[R1].fastq.gz	428572	76	35	32328576	75.4332434223421	76.0	42.671616590845204	Undetermined_Nextera
Undetermined_Nextera[R2].fastq.gz	428572	76	35	32318439	75.40959045387939	76.0	41.96564072912061	Undetermined_Nextera
